isbn,title,author,year
439895979,Beauty Queens,Libba Bray,2011
307275558,The Devil Wears Prada,Lauren Weisberger,2003
143123238,The Silent Wife,A.S.A. Harrison,2013
1423116399,Heist Society,Ally Carter,2010
743292499,True Evil,Greg Iles,2006
373210574,The Lost Prince,Julie Kagawa,2012
553384287,Odd Thomas,Dean Koontz,2003
679733973,The Killer Inside Me,Jim Thompson,1952
067001110X,Wintergirls,Laurie Halse Anderson,2009
451232682,Falling Under,Gwen Hayes,2011
60975776,Jesus' Son: Stories,Denis Johnson,1992
6479758,Executive Orders,Tom Clancy,1996
375831002,The Book Thief,Markus Zusak,2005
1590388984,Grip of the Shadow Plague,Brandon Mull,2008
014038572X,The Outsiders,S.E. Hinton,1967
786907509,Passage to Dawn,R.A. Salvatore,1993
61059919,The Fury,L.J. Smith,1991
446195979,The Whole Truth,David Baldacci,2008
553572946,Endymion,Dan Simmons,1996
62009494,Dodger,Terry Pratchett,2012
545027896,Wonderstruck,Brian Selznick,2011
034550500X,The City of Mirrors,Justin Cronin,2016
8143676,Happily Ever After,Kiera Cass,2015
1423157311,The Archived,Victoria Schwab,2013
553587692,The Perfect Husband,Lisa Gardner,1997
425173909,After the Funeral ,Agatha Christie,1953
670062405,Llama Llama Mad at Mama,Anna Dewdney,2007
810993139,Greg Heffley's Journal,Jeff Kinney,2004
425212017,Strange Candy,Laurell K. Hamilton,2006
385733976,Going Bovine,Libba Bray,2009
316407135,Cross Justice,James Patterson,2015
074326004X,Assassination Vacation,Sarah Vowell,2005
552148067,The Seeress of Kell,David Eddings,1991
307265749,The Lowland,Jhumpa Lahiri,2013
345469011,A Widow for One Year,John Irving,1998
1594480001,The Kite Runner ,Khaled Hosseini,2003
385517882,Snuff,Chuck Palahniuk,2008
810994739,Rodrick Rules,Jeff Kinney,2008
425210278,Predator,Patricia Cornwell,2005
143038389,Death Without Company,Craig Johnson,2006
1905654588,Tempted,"P.C. Cast, Kristin Cast",2008
1455520659,The Longest Ride,Nicholas Sparks,2012
446695696,Skin Tight,Carl Hiaasen,1989
1416985794,Intet,"Janne Teller, Martin Aitken",2000
805445528,Breaking Free,Beth Moore,1999
439680093,Raven's Gate,Anthony Horowitz,2005
1594205388,Lexicon,Max Barry,2013
037575931X,Crossing to Safety,Wallace Stegner,1987
006057299X,Every Which Way But Dead,Kim Harrison,2005
553116606,The Amityville Horror,Jay Anson,1977
99460173,Blood Canticle,Anne Rice,2003
451474473,Marked in Flesh,Anne Bishop,2016
451218469,Beneath a Marble Sky,John Shors,2004
836218310,The Far Side Gallery 3,Gary Larson,1984
60855908,Equal Rites,Terry Pratchett,1987
451190750,Thinner,"Richard Bachman, Stephen King",1984
425268780,Prince of Fools,Mark  Lawrence,2014
684855631,The Empty Chair ,Jeffery Deaver,2000
849945119,Blink,Ted Dekker,2002
380721643,Track of the Cat,Nevada Barr,1993
075640407X,The Name of the Wind,Patrick Rothfuss,2007
1481422340,Afterworlds,Scott Westerfeld,2014
345443586,Mistral's Kiss,Laurell K. Hamilton,2006
316780375,The Weight of Water,Anita Shreve,1997
61020613,Witches Abroad,Terry Pratchett,1991
1476754454,Mr. Mercedes,Stephen King,2014
1841156736,The Corrections,Jonathan Franzen,2001
1444729705,The Litigators,John Grisham,2011
553213156,Anne of Ingleside,L.M. Montgomery,1939
553807056,Odd Hours,Dean Koontz,2008
316601950,The Pilot's Wife,Anita Shreve,1998
671729489,Seeds of Yesterday,V.C. Andrews,1984
553499084,The Julian chapter,R.J. Palacio,2014
553572989,The Rise of Endymion,Dan Simmons,1997
316219363,The Yellow Birds,Kevin Powers,2012
761169253,Steal Like an Artist,Austin Kleon,2010
446615757,The Christmas Train,David Baldacci,2001
142406147,Skeleton Key,Anthony Horowitz,2002
1455566020,The Last Mile,David Baldacci,2016
545326990,Drama,"Raina Telgemeier, Gurihiru",2012
425263924,Entwined with You,Sylvia Day,2013
034552666X,Great North Road,Peter F. Hamilton,2012
399156909,Bad Blood,John Sandford,2010
679736328,Suttree,Cormac McCarthy,1979
385339682,The Last Juror,John Grisham,2004
042519518X,Flight Of The Old Dog,Dale Brown,1987
61448761,Gone,Michael  Grant,2008
1599901196,The Declaration,Gemma Malley,2007
385535775,The Red House,Mark Haddon,2012
385537859,Inferno,Dan Brown,2013
345414004,Friday,Robert A. Heinlein,1982
440220459,Drop Shot,Harlan Coben,1996
1416586598,Foreign Influence,Brad Thor,2010
62200631,The Fireman,Joe Hill,2016
312858868,The Prestige,Christopher Priest,1995
743571355,The Spellman Files,Lisa Lutz,2007
385335997,Voyager,Diana Gabaldon,1993
743246071,The Queen's Fool,Philippa Gregory,2003
385517831,The Associate,John Grisham,2009
399160302,Salt to the Sea,Ruta Sepetys,2016
399156879,Indulgence in Death,J.D. Robb,2010
743437349,The Reality Bug,D.J. MacHale,2003
074990741X,Kiss of the Night,Sherrilyn Kenyon,2004
345477243,Back When We Were Grownups,Anne Tyler,2001
440241006,The Persuader,Lee Child,2003
62311115,The Bone Tree,Greg Iles,2015
60890312,Wintersmith,Terry Pratchett,2006
743437322,The Lost City of Faar,D.J. MacHale,2003
385737637,Revolution,Jennifer Donnelly,2010
141654707X,Dark Needs at Night's Edge,Kresley Cole,2008
7165161,The Sands of Time,Sidney Sheldon,1985
446695688,Sick Puppy,Carl Hiaasen,2000
078948045X,Anatomy for the Artist,Sarah Simblet,2001
1101875046,In the Unlikely Event,Judy Blume,2015
1423161610,The Last Guardian,Eoin Colfer,2012
8408057235,Maktub,Paulo Coelho,1994
61779725,Bite Me,Christopher Moore,2010
159463467X,Modern Lovers,Emma Straub,2016
044654759X,Safe Haven,Nicholas Sparks,2010
1841580651,Gods and Generals,Jeff Shaara,1996
385333765,King Rat,James Clavell,1962
743418719,Salem Falls,Jodi Picoult,2001
60891564,Eaters of the Dead,Michael Crichton,1976
451528522,The Invisible Man,H.G. Wells,1897
545424925,The Raven Boys,Maggie Stiefvater,2012
1101874996,The Cartel,Don Winslow,2015
152053107,A Northern Light,Jennifer Donnelly,2003
143036254,Common Sense,Thomas Paine,1776
1620610086,Shadows,Jennifer L. Armentrout,2012
60564652,Hissy Fit,Mary Kay Andrews,2004
743412028,Pay It Forward,Catherine Ryan Hyde,1999
593057775,The Bone Garden,Tess Gerritsen,2007
125001980X,Lost Lake,Sarah Addison Allen,2014
689867042,Tithe: A Modern Faerie Tale,Holly Black,2002
671729446,Heaven,V.C. Andrews,1985
670018856,The Beach House,Jane Green,2008
425194515,Midnight,Dean Koontz,1989
037572737X,American Tabloid,James Ellroy,1995
141023422,The Sheltering Sky,Paul Bowles,1949
1402208766,Mr. Darcy's Diary,Amanda Grange,2005
375836675,The Messenger,Markus Zusak,2002
553381350,The Right Stuff,Tom Wolfe,1979
765312182,Blindsight,Peter Watts,2006
1400066212,Strength in What Remains,Tracy Kidder,2000
670032085,Financial Peace Revisited,Dave Ramsey,1992
031238078X,Save Me,Lisa Scottoline,2011
743454510,Second Glance,Jodi Picoult,2003
590032496,The Witches,"Roald Dahl, Quentin Blake",1983
62278967,A Thousand Pieces of You,Claudia Gray,2014
758211821,Absolute Fear,Lisa Jackson,2007
765342405,Ender's Shadow,Orson Scott Card,1998
689862210,The View from Saturday,E.L. Konigsburg,1996
330398059,Blubber,Judy Blume,1974
60888644,Sword Song,Bernard Cornwell,2007
316127191,Heartless,Gail Carriger,2011
1455507199,The Middlesteins,Jami Attenberg,2012
1416530738,Once and Always,Judith McNaught,1987
857520199,Second Life,S.J. Watson,2015
60560150,Ruby Holler,Sharon Creech,2002
399170863,The Liar,Nora Roberts,2014
618683070,Dairy Queen,Catherine Gilbert Murdock,2006
60887397,Unbelievable,Sara Shepard,2008
552142743,The MasterHarper of Pern,Anne McCaffrey,1998
140236236,Regeneration,Pat Barker,1991
385340559,Bad Luck and Trouble,Lee Child,2007
60096128,Princess in Pink,Meg Cabot,2003
765330423,The Alloy of Law,Brandon Sanderson,2011
307265773,Letter to a Christian Nation,Sam Harris,2006
1402792808,A Walk Across the Sun,Corban Addison,2011
375706674,No Country for Old Men,Cormac McCarthy,2005
9793062924,Sang Pemimpi,Andrea Hirata,2006
60750863,The System of the World,Neal Stephenson,2004
802170374,Flight: A Novel,Sherman Alexie,2007
051511779X,Born in Shame,Nora Roberts,1996
441012914,Absolution Gap,Alastair Reynolds,2003
60763892,The Judas Strain,James Rollins,2007
425205959,Cards on the Table,Agatha Christie,1936
451219597,Jackdaws,Ken Follett,2001
1590860624,Without Fail ,"Lee Child, Dick Hill",2002
373605692,The Siren,Tiffany Reisz,2012
312315732,Little Children,Tom Perrotta,2004
1861977697,Art of Seduction,Robert Greene,2001
61159174,The Known World,Edward P. Jones,2003
345495934,Swallowing Darkness,Laurell K. Hamilton,2008
312593554,Night Pleasures,Sherrilyn Kenyon,2002
1594633665,The Girl on the Train,Paula Hawkins,2015
385339151,Darkfever,Karen Marie Moning,2006
451229444,Crave,J.R. Ward,2010
312330871,Ten Little Niggers,Agatha Christie,1939
786838930,Masquerade,Melissa de la Cruz,2007
316191299,Holidays on Ice,David Sedaris,1997
067984483X,Put Me in the Zoo,Robert Lopshire,1960
60569662,Autobiography of a Face,Lucy Grealy,1994
034552425X,Rivers of London,Ben Aaronovitch,2011
080508049X,The Black Cauldron,Lloyd Alexander,1965
399256121,Bloodrose,Andrea Cremer,2012
375868429,Chomp!,Carl Hiaasen,2012
1597801577,The Windup Girl,Paolo Bacigalupi,2009
373802498,Magic Study,Maria V. Snyder,2006
074348486X,As You Like It,William Shakespeare,1599
425227510,Vision in White,Nora Roberts,2009
140097317,City of Glass,Paul Auster,1985
671890913,The Longest Day,Cornelius Ryan,1959
395389496,The Polar Express,Chris Van Allsburg,1985
449911942,Rabbit at Rest,John Updike,1990
679735771,American Psycho,Bret Easton Ellis,1991
312532768,Blue Moon,Alyson Noel,2009
425227944,The Darkest Hour,Maya Banks,2010
1502446936,Stepbrother Dearest,Penelope Ward,2014
1439102252,Wishful Drinking,Carrie Fisher,2008
394800028,The Cat in the Hat Comes Back,Dr. Seuss,1958
1857988841,The Sirens of Titan,Kurt Vonnegut Jr.,1959
679734465,Valis,Philip K. Dick,1981
714847984,The 20th Century Art Book,Phaidon Press,1996
1533134138,The Bird and the Sword,Amy Harmon,2016
1455561789,Before the Fall,Noah Hawley,2016
345419626,The Queen of the Damned,Anne Rice,1988
765310082,Toll the Hounds,Steven Erikson,2008
441013651,The Atrocity Archives,Charles Stross,2004
375829873,The Chocolate War,Robert Cormier,1974
547738471,The Last Dragonslayer,Jasper Fforde,2010
803733569,Willow,Julia Hoban,2009
553588257,Velocity,Dean Koontz,2005
857662937,Nexus,Ramez Naam,2012
385732953,All-of-a-Kind Family,Sydney Taylor,1951
425272354,Devil's Game,Joanna Wylde,2014
375727132,The Dive From Clausen's Pier,Ann Packer,2002
141651631X,Path of the Assassin,Brad Thor,2003
875093663,Pursuit of God,A.W. Tozer,1948
618620117,How We Decide,Jonah Lehrer,2009
399252649,Mockingbird,Kathryn Erskine,2010
1612187005,The Wretched of Muirwood,Jeff Wheeler,2011
425194523,Raise the Titanic!,Clive Cussler,1976
224081187,On Chesil Beach,Ian McEwan,2007
1595141979,Shadow Kiss,Richelle Mead,2008
842386882,Reunion,"Karen Kingsbury, Gary Smalley",2004
1477823832,The Paper Magician,Charlie N. Holmberg,2014
1416510567,Fatal Voyage,Kathy Reichs,2001
044661758X,The Concrete Blonde,Michael Connelly,1994
525421556,Hold Still,Nina LaCour,2009
552772291,Sleeping Arrangements,Madeleine Wickham,2001
553280511,The Blue Castle,L.M. Montgomery,1926
1905294719,Tintentod,Cornelia Funke,2007
515141429,Killing Floor,Lee Child,1997
515139408,Red Lily,Nora Roberts,2005
440416795,Harriet the Spy,Louise Fitzhugh,1964
385315546,Drinking: A Love Story,Caroline Knapp,1996
61985864,Supernaturally,Kiersten White,2011
1439192561,"Full Dark, No Stars",Stephen King,2010
765309416,The Android's Dream,John Scalzi,2006
399158812,Delusion in Death,J.D. Robb,2012
679776818,Birdsong,Sebastian Faulks,1993
312971230,Ice Station,Matthew Reilly,1998
1921794097,Saving June,Hannah Harrington,2011
575077905,Last Argument of Kings,Joe Abercrombie,2008
553589393,Midnight Awakening ,Lara Adrian,2007
765316994,Redshirts,John Scalzi,2012
385352875,The Water Knife,Paolo Bacigalupi,2015
425170349,Rainbow Six,Tom Clancy,1998
1405038160,The Six Sacred Stones,Matthew Reilly,2007
670025771,The Secret Chord,Geraldine Brooks,2015
345496531,The Dreaming Void,Peter F. Hamilton,2007
752858556,The Matarese Circle,Robert Ludlum,1979
345533232,Never Seduce a Scot,Maya Banks,2012
144244228X,The summer I turned pretty,Jenny Han,2009
553582798,Lake in the Clouds,Sara Donati,2002
316015059,Double Cross,James Patterson,2007
440227194,Brian's Winter,Gary Paulsen,1996
552772275,The Wedding Girl,Madeleine Wickham,1999
61950726,Orphan Train,Christina Baker Kline,2013
067102423X,Bag of Bones,Stephen King,1998
312997116,As The Crow Flies,Jeffrey Archer,1990
679723226,Double Indemnity,James M. Cain,1936
312590970,Dark Flame,Alyson Noel,2010
039915731X,Locked On,"Tom Clancy, Mark Greaney",2011
184149593X,The Rogue,Trudi Canavan,2011
345472446,"Lucia, Lucia",Adriana Trigiani,2003
330487140,A Bend in the River,V.S. Naipaul,1979
451203771,The Scarlet Feather,Maeve Binchy,2000
140065172,Ordinary People,Judith Guest,1976
143037234,The Big Over Easy,Jasper Fforde,2005
60512806,Cryptonomicon,Neal Stephenson,1999
440238153,The Amber Spyglass,Philip Pullman,2000
743296419,Handle with Care,Jodi Picoult,2009
385517238,The Innocent Man,John Grisham,2006
385349068,Dad Is Fat,Jim Gaffigan,2013
312382855,Patient Zero,Jonathan Maberry,2009
385338104,The Book of Joe,Jonathan Tropper,2003
1934781630,Zeitoun,Dave Eggers,2008
446617687,Sex and the City,Candace Bushnell,1996
670241334,Corduroy,Don Freeman,1948
743457587,The Miracle Worker,William  Gibson,1956
312379293,A Prisoner of Birth,Jeffrey Archer,2008
446539759,First Family,David Baldacci,2009
375724834,Motherless Brooklyn,Jonathan Lethem,1999
1400041988,Pnin,"Vladimir Nabokov, David Lodge",1953
1476738963,We Are Called to Rise,Laura  McBride,2014
765345013,Child of the Prophecy ,Juliet Marillier,2001
014240120X,The Westing Game,Ellen Raskin,1978
689840330,Silver on the Tree,Susan Cooper,1977
486455599,Eight Cousins,Louisa May Alcott,1874
60892013,The Sight,Erin Hunter,2007
307931889,Every Day,David Levithan,2012
345528670,The Aviator's Wife,Melanie Benjamin,2013
831727527,Gerald's Game,Stephen King,1992
451208641,Black Like Me,John Howard Griffin,1960
425210758,Mr. Murder,Dean Koontz,1993
307276902,A Million Little Pieces,James Frey,2003
60887303,Pretty Little Liars,Sara Shepard,2006
042518160X,Danse Macabre,Stephen King,1981
312938993,A is for Alibi,Sue Grafton,1982
451210468,Lie Down With Lions,Ken Follett,1985
345483448,Summer Island,Kristin Hannah,2001
345515501,The Silent Girl,Tess Gerritsen,2011
425210731,Memory in Death ,J.D. Robb,2006
452281253,Anthem,Ayn Rand,1938
375703063,A Virtuous Woman ,Kaye Gibbons,1989
142300705,A Year Down Yonder,Richard Peck,2000
1401303366,The Middle Place,Kelly Corrigan,2005
033034837X,The Third Twin,Ken Follett,1996
1400097029,The Sea,John Banville,2005
60177241,The Thief of Always,Clive Barker,1992
767927567,Escape,"Carolyn Jessop, Laura Palmer",2007
61662690,The Summoning,Kelley Armstrong,2008
385340222,Sisters,Danielle Steel,2007
670021040,Caleb's Crossing,Geraldine Brooks,2011
312358342,The Leftovers,Tom Perrotta,2011
8466302204,Violin,Anne Rice,1997
1451673442,The Magic (The Secret #3),Rhonda Byrne,2012
811214044,The Glass Menagerie,Tennessee Williams,1945
385535309,Paris,Edward Rutherfurd,2013
61962783,Inside Out & Back Again,Thanhha Lai,2011
385538499,The Winter People,Jennifer McMahon,2014
1565125525,Breakfast with Buddha,Roland Merullo,2007
1451672721,Gold,Chris Cleave,2012
033041335X,Sons of Fortune,Jeffrey Archer,2002
193700788X,Dead Ever After,Charlaine Harris,2013
60513063,A Light in the Attic,Shel Silverstein,1981
375705856,Plainsong,Kent Haruf,1999
449226352,Home Again,Kristin Hannah,1996
385735359,The Enchantress,Michael Scott,2012
385538510,The Night Sister,Jennifer McMahon,2015
399154213,Invisible Prey,John Sandford,2007
395181569,The Little House,Virginia Lee Burton,1942
1101904224,Dark Matter,Blake Crouch,2016
1595143424,Virals,"Kathy Reichs, Brendan Reichs",2010
375414959,Bridge of Sighs,Richard Russo,2007
399156399,The Scarpetta Factor ,Patricia Cornwell,2009
312348649,Baby Proof,Emily Giffin,2006
1573226882,Fever Pitch,Nick Hornby,1992
441005764,Mossflower,Brian Jacques,1988
7205236,Angela's Ashes: A Memoir,Frank McCourt,1996
749732105,The Folk of Faraway Tree,Enid Blyton,1946
60541830,Congo,Michael Crichton,1980
312985347,Eleven on Top,Janet Evanovich,2005
671737821,Honor's Splendour,Julie Garwood,1987
553807234,The Neighbor,Lisa Gardner,2009
553213180,Rainbow Valley,L.M. Montgomery,1917
141185538,The Moon Is Down,John Steinbeck,1942
014029628X,Girl in Hyacinth Blue,Susan Vreeland,1999
60788704,The Outlaw Demon Wails ,Kim Harrison,2008
441015662,Iron Kissed,Patricia Briggs,2008
006218850X,The Orchardist,Amanda Coplin,2012
425255700,Affliction,Laurell K. Hamilton,2013
399154388,The Chase,Clive Cussler,2007
1476751803,Sweet Filthy Boy ,Christina Lauren,2014
345348109,The Killer Angels,Michael Shaara,1974
446607274,Angels Flight,Michael Connelly,1999
374281092,Someone,Alice McDermott,2013
380017601,Love Story,Erich Segal,1970
1841492051,Shadow of the Giant,Orson Scott Card,2005
60590270,A Dirty Job,Christopher Moore,2006
449205622,Captains and the Kings,Taylor Caldwell,1972
1857231325,The Wishsong of Shannara ,Terry Brooks,1985
1250019834,First Frost,Sarah Addison Allen,2015
590664875,Runaway Ralph,Beverly Cleary,1970
345479718,Woken Furies,Richard K. Morgan,2005
385336691,The Hard Way,Lee Child,2006
1416912045,Unwind,Neal Shusterman,2007
1592402038,"Eats, Shoots and Leaves",Lynne Truss,2003
1551111721,Lord Jim,Joseph Conrad,1900
385518331,Dexter in the Dark,Jeff Lindsay,2006
60515198,Anansi Boys,Neil Gaiman,2005
1416975861,Clockwork Angel,Cassandra Clare,2010
60584033,Motor Mouth,Janet Evanovich,2006
1419122126,Good Wives,Louisa May Alcott,1868
441005667,Forever Peace ,Joe Haldeman,1997
312594429,Hidden,"P.C. Cast, Kristin Cast",2012
310247454,Boundaries,"Henry Cloud, John Townsend",1992
99446782,The Silence of the Lambs,Thomas Harris,1988
670038717,First Among Sequels ,Jasper Fforde,2007
689869118,Black Water,D.J. MacHale,2004
375706860,Kar,"Orhan Pamuk, Maureen Freely",2002
812975294,The Greatest Generation,Tom Brokaw,1998
1841493015,Club Dead,Charlaine Harris,2003
812504690,The Jungle Book,Rudyard Kipling,1894
812536363,Rainbows End,Vernor Vinge,2006
425083896,Books of Blood: Volume One,Clive Barker,1984
486266893,Candide,Voltaire,1759
61579033,The Family Fang,Kevin    Wilson,2011
385730306,The Sweet Far Thing,Libba Bray,2007
812550285,A Crown of Swords,Robert Jordan,1996
545169178,The List,Siobhan Vivian,2012
316069418,The Drop,Michael Connelly,2011
60278250,Abhorsen,Garth Nix,2003
1594631395,"Boy, Snow, Bird",Helen Oyeyemi,2013
1841496863,Bone Crossed,Patricia Briggs,2009
009928264X,Survivor,Chuck Palahniuk,1999
1847442404,The Swan Thieves,Elizabeth Kostova,2010
009949857X,Light A Penny Candle,Maeve Binchy,1982
345485599,Breathing Lessons,Anne Tyler,1988
764223305,The Covenant,Beverly  Lewis,2002
553380958,Snow Crash,Neal Stephenson,1992
375727345,House of Sand and Fog,Andre Dubus III,1999
1594489254,The Ghost Map,Steven Johnson,2006
1857232097,The Fires of Heaven,Robert Jordan,1993
140367357,Five Children and It ,E. Nesbit,1902
1416549129,The Other Queen,Philippa Gregory,2008
62286447,Fourth of July Creek,Smith Henderson,2014
031024756X,Ever After,Karen Kingsbury,2006
553563734,The King's Buccaneer,Raymond E. Feist,1992
718147715,Cook with Jamie,Jamie Oliver,2006
156478214X,The Third Policeman,Flann O'Brien,1967
765326574,The Lost Gate,Orson Scott Card,2011
689849109,Pollyanna,Eleanor H. Porter,1912
148473274X,The Hidden Oracle,Rick Riordan,2016
1469216000,Pines,Blake Crouch,2012
804138567,Bittersweet,Miranda Beverly-Whittemore,2014
752858653,The Scarlatti Inheritance,Robert Ludlum,1971
525951652,Fall of Giants,Ken Follett,2010
044101738X,Hunting Ground,Patricia Briggs,2009
